Query Case No.,Similar Case No.,Similarity Score
C.A._1022_2012,judgement_C.P.L.A.2788-2022,0.9987
C.A._1022_2012,judgement_C.P.L.A.288-P-2015,0.9989
C.A._1022_2012,judgement_C.P.L.A.281-K-2022,0.9989
C.A._1022_2012,judgement_C.P.L.A.2902-2018,0.9986
C.A._1022_2012,judgement_C.P.L.A.287-P-2016,0.9988
C.A._1022_2012,judgement_C.P.L.A.290-K-2024,0.9992
C.A._1022_2012,judgement_C.P.L.A.304-2022,0.9989
C.A._1022_2012,judgement_C.P.L.A.3-K-2023,0.9991
C.A._1022_2012,judgement_C.P.L.A.3097-2015,0.9988
C.A._1022_2012,judgement_C.P.L.A.3078-2016,0.9974
C.A._1022_2012,judgement_C.P.L.A.3041-2020,0.999
C.A._1022_2012,judgement_C.P.L.A.2916-2019,0.9988
C.A._1022_2012,judgement_C.P.L.A.319-2016,0.9942
C.A._1022_2012,judgement_C.P.L.A.3181-2015,0.9988
C.A._1022_2012,judgement_C.P.L.A.3148-2020,0.9987
C.A._1022_2012,judgement_C.P.L.A.3282-L-2022,0.9987
C.A._1022_2012,judgement_C.P.L.A.3228-2015,0.9989
C.A._1022_2012,judgement_C.P.L.A.3287-2019,0.9988
C.A._1022_2012,judgement_C.P.L.A.3317-2018,0.999
C.A._1022_2012,judgement_C.P.L.A.3381-2024,0.9993
C.A._1022_2012,judgement_C.P.L.A.3367-2018,0.9987
C.A._1022_2012,judgement_C.P.L.A.331-P-2014,0.9986
C.A._1022_2012,judgement_C.P.L.A.3186-2015,0.9989
C.A._1022_2012,judgement_C.P.L.A.3131-2017,0.9988
C.A._1022_2012,judgement_C.P.L.A.339-K-2017,0.9991
C.A._1022_2012,judgement_C.P.L.A.2243-L-2019,0.9995
C.A._1022_2012,judgement_C.P.L.A.3451-2015,0.999
C.A._1022_2012,judgement_C.P.L.A.339-L-2023,0.9987
C.A._1022_2012,judgement_C.P.L.A.3463-2021,0.9989
C.A._1022_2012,judgement_C.P.L.A.3520-2020,0.999
C.A._1022_2012,judgement_C.P.L.A.3575-2020,0.9991
C.A._1022_2012,judgement_C.P.L.A.357-2016,0.9988
C.A._1022_2012,judgement_C.P.L.A.3460-2015,0.9988
C.A._1022_2012,judgement_C.P.L.A.3532-2023,0.9921
C.A._1022_2012,judgement_C.P.L.A.3413-2017,0.9989
C.A._1022_2012,judgement_C.P.L.A.3752-2018,0.9987
C.A._1022_2012,judgement_C.P.L.A.3589-2022,0.9988
C.A._1022_2012,judgement_C.P.L.A.3729-2015,0.999
C.A._1022_2012,judgement_C.P.L.A.378-L-2004,0.9988
C.A._1022_2012,judgement_C.P.L.A.3587-2020,0.9987
C.A._1022_2012,judgement_C.P.L.A.3597-L-2023,0.9989
C.A._1022_2012,judgement_C.P.L.A.380-2014,0.9933
C.A._1022_2012,judgement_C.P.L.A.3795-2021,0.9988
C.A._1022_2012,judgement_C.P.L.A.3811-2019,0.9989
C.A._1022_2012,judgement_C.P.L.A.3772-2019,0.9988
C.A._1022_2012,judgement_C.P.L.A.381-K-2019,0.9989
C.A._1022_2012,judgement_C.P.L.A.385-L-2021,0.9988
C.A._1022_2012,judgement_C.P.L.A.3718-2023,0.9988
C.A._1022_2012,judgement_C.P.L.A.396-2017,0.9989
C.A._1022_2012,judgement_C.P.L.A.3952-2019,0.9988
C.A._1022_2012,judgement_C.P.L.A.3950-2019,0.9988
C.A._1022_2012,judgement_C.P.L.A.3923-2016,0.999
C.A._1022_2012,judgement_C.P.L.A.3988-2022,0.9989
C.A._1022_2012,judgement_C.P.L.A.42-2024,0.9995
C.A._1022_2012,judgement_C.P.L.A.4365-2023,0.9992
C.A._1022_2012,judgement_C.P.L.A.407-K-2021,0.999
C.A._1022_2012,judgement_C.P.L.A.4522-2023,0.999
C.A._1022_2012,judgement_C.P.L.A.449-2019,0.9994
C.A._1022_2012,judgement_C.P.L.A.4-K-2025,0.9989
C.A._1022_2012,judgement_C.P.L.A.44-2022,0.9989
C.A._1022_2012,judgement_C.P.L.A.4576-2023,0.9988
C.A._1022_2012,judgement_C.P.L.A.4740-2017,0.9986
C.A._1022_2012,judgement_C.P.L.A.4703-2017,0.9984
C.A._1022_2012,judgement_C.P.L.A.4889-2018,0.9985
C.A._1022_2012,judgement_C.P.L.A.45-2015,0.9911
C.A._1022_2012,judgement_C.P.L.A.4862-2018,0.9988
C.A._1022_2012,judgement_C.P.L.A.4570-2019,0.9989
C.A._1022_2012,judgement_C.P.L.A.509-P-2012,0.9988
C.A._1022_2012,judgement_C.P.L.A.524-P-2015,0.9988
C.A._1022_2012,judgement_C.P.L.A.512-2022,0.9988
C.A._1022_2012,judgement_C.P.L.A.4963-2018,0.9987
C.A._1022_2012,judgement_C.P.L.A.510-2019,0.9989
C.A._1022_2012,judgement_C.P.L.A.531-P-2024,0.9989
C.A._1022_2012,judgement_C.P.L.A.5796-2021,0.9987
C.A._1022_2012,judgement_C.P.L.A.548-P-2013,0.9989
C.A._1022_2012,judgement_C.P.L.A.5646-2021,0.9989
C.A._1022_2012,judgement_C.P.L.A.5929-2024,0.9986
C.A._1022_2012,judgement_C.P.L.A.590-2021,0.9987
C.A._1022_2012,judgement_C.P.L.A.5516-2024,0.9988
C.A._1022_2012,judgement_C.P.L.A.51-2015,0.9988
C.A._1022_2012,judgement_C.P.L.A.609-2017,0.9989
C.A._1022_2012,judgement_C.P.L.A.639-2019,0.9987
C.A._1022_2012,judgement_C.P.L.A.593-2020,0.9987
C.A._1022_2012,judgement_C.P.L.A.664-K-2017,0.9989
C.A._1022_2012,judgement_C.P.L.A.6059-2021,0.9993
C.A._1022_2012,judgement_C.P.L.A.689-L-2015,0.9985
C.A._1022_2012,judgement_C.P.L.A.686-K-2019,0.9989
C.A._1022_2012,judgement_C.P.L.A.70-2014,0.9989
C.A._1022_2012,judgement_C.P.L.A.687-2022,0.9989
C.A._1022_2012,judgement_C.P.L.A.706-2021,0.9988
C.A._1022_2012,judgement_C.P.L.A.701-2016,0.9988
C.A._1022_2012,judgement_C.P.L.A.722-P-2021,0.9989
C.A._1022_2012,judgement_C.P.L.A.529-2015,0.9987
C.A._1022_2012,judgement_C.P.L.A.715-2018,0.999
C.A._1022_2012,judgement_C.P.L.A.74-2025,0.999
C.A._1022_2012,judgement_C.P.L.A.720-2020,0.9988
C.A._1022_2012,judgement_C.P.L.A.78-Q-2016,0.9989
C.A._1022_2012,judgement_C.P.L.A.788-2006,0.9988
C.A._1022_2012,judgement_C.P.L.A.781-2016,0.9988
C.A._1022_2012,judgement_C.P.L.A.800-P-2019,0.9987
C.A._1022_2012,judgement_C.P.L.A.80-Q-2010,0.9988
C.A._1022_2012,judgement_C.P.L.A.805-L-2019,0.9989
C.A._1022_2012,judgement_C.P.L.A.76-2007,0.9985
C.A._1022_2012,judgement_C.P.L.A.826-2016,0.9987
C.A._1022_2012,judgement_C.P.L.A.820-2019,0.9989
C.A._1022_2012,judgement_C.P.L.A.84-2016,0.9988
C.A._1022_2012,judgement_C.P.L.A.84-P-2015,0.9986
C.A._1022_2012,judgement_C.P.L.A.853-2014,0.9907
C.A._1022_2012,judgement_C.P.L.A.873-2021,0.9989
C.A._1022_2012,judgement_C.P.L.A.890-K-2023,0.998
C.A._1022_2012,judgement_C.P.L.A.784-2014,0.9988
C.A._1022_2012,judgement_C.P.L.A.95-2023,0.9988
C.A._1022_2012,judgement_C.P.L.A.78-K-2024,0.9988
C.A._1022_2012,judgement_C.P.L.A.944-L-2014,0.9987
C.A._1022_2012,judgement_C.P.L.A.921-L-2017,0.9989
C.A._1022_2012,judgement_C.R.P.1-2014,0.999
C.A._1022_2012,judgement_C.P.L.A.989-2015,0.9987
C.A._1022_2012,judgement_C.R.P.125-2017,0.996
C.A._1022_2012,judgement_C.P.L.A.993-2014,0.9989
C.A._1022_2012,judgement_C.R.P.14-2024,0.9991
C.A._1022_2012,judgement_C.P.L.A.852-2020,0.9988
C.A._1022_2012,judgement_C.R.P.197-2022,0.9988
C.A._1022_2012,judgement_C.R.P.100-2016,0.9974
C.A._1022_2012,judgement_C.R.P.229-2006,0.9986
C.A._1022_2012,judgement_C.R.P.247-2015,0.9988
C.A._1022_2012,judgement_C.R.P.167-2012,0.9988
C.A._1022_2012,judgement_C.R.P.268-2015,0.9988
C.A._1022_2012,judgement_C.R.P.247-2011,0.9986
C.A._1022_2012,judgement_C.R.P.297-2017,0.9988
C.A._1022_2012,judgement_C.R.P.310-2018,0.9988
C.A._1022_2012,judgement_C.R.P.315-2013,0.9986
C.A._1022_2012,judgement_C.R.P.309-2013,0.9988
C.A._1022_2012,judgement_C.R.P.360-2024,0.9991
C.A._1022_2012,judgement_C.R.P.296-2020,0.9991
C.A._1022_2012,judgement_C.R.P.383-2005,0.9989
C.A._1022_2012,judgement_C.R.P.420-2016,0.9995
C.A._1022_2012,judgement_C.R.P.328-2013,0.9988
C.A._1022_2012,judgement_C.R.P.446-2022,0.9958
C.A._1022_2012,judgement_C.R.P.43-K-2012,0.9989
C.A._1022_2012,judgement_C.R.P.421-2020,0.9989
C.A._1022_2012,judgement_C.R.P.70-2018,0.9985
C.A._1022_2012,judgement_C.R.P.835-2018,0.9982
C.A._1022_2012,judgement_C.R.P.87-2015,0.9987
C.A._1022_2012,judgement_C.Sh.A.1-2013,0.9985
C.A._1022_2012,judgement_C.U.O.18-2024,0.9986
C.A._1022_2012,judgement_C.R.P.125-2014,0.9989
C.A._1022_2012,judgement_C.R.P.193-2013,0.9989
C.A._1022_2012,judgement_Crl.A.103-2019,0.999
C.A._1022_2012,judgement_C.R.P.45-2009,0.9979
C.A._1022_2012,judgement_Crl.A.106-2020,0.9989
C.A._1022_2012,judgement_Crl.A.108-2020,0.999
C.A._1022_2012,judgement_Crl.A.11-P-2014,0.999
C.A._1022_2012,judgement_C.P.L.A.842-2016,0.9988
C.A._1022_2012,judgement_Complaint.586-2023-SJC,0.9992
C.A._1022_2012,judgement_Crl.A.128-2020,0.9991
C.A._1022_2012,judgement_Crl.A.122-L-2012,0.9988
C.A._1022_2012,judgement_Crl.A.12-P-2011,0.9988
C.A._1022_2012,judgement_Crl.A.15-Q-2020,0.9991
C.A._1022_2012,judgement_C.R.P.49-2016,0.9989
C.A._1022_2012,judgement_Crl.A.155-2018,0.9988
C.A._1022_2012,judgement_Crl.A.160-2010,0.9976
C.A._1022_2012,judgement_Crl.A.139-2022,0.9989
C.A._1022_2012,judgement_Crl.A.163-2013,0.9986
C.A._1022_2012,judgement_Crl.A.181-2012,0.9988
C.A._1022_2012,judgement_Crl.A.178-L-2009,0.999
C.A._1022_2012,judgement_Crl.A.190-2016,0.9922
C.A._1022_2012,judgement_Crl.A.22-P-2014,0.999
C.A._1022_2012,judgement_Crl.A.201-2018,0.9985
C.A._1022_2012,judgement_Const.P.3-2014,0.999
C.A._1022_2012,judgement_Crl.A.208-2022,0.999
C.A._1022_2012,judgement_Crl.A.266-2019,0.9989
C.A._1022_2012,judgement_Crl.A.282-2019,0.9989
C.A._1022_2012,judgement_Crl.A.137-L-2010,0.9988
C.A._1022_2012,judgement_Crl.A.239-2020,0.9988
C.A._1022_2012,judgement_Crl.A.3-Q-2021,0.999
C.A._1022_2012,judgement_Crl.A.301-L-2017,0.9986
C.A._1022_2012,judgement_Crl.A.297-2020,0.9989
C.A._1022_2012,judgement_CRL.A.310-2006,0.9989
C.A._1022_2012,judgement_Crl.A.324-2021,0.9987
C.A._1022_2012,judgement_Crl.A.315-2012,0.9989
C.A._1022_2012,judgement_Crl.A.24-2010,0.9985
C.A._1022_2012,judgement_Crl.A.386-2018,0.9988
C.A._1022_2012,judgement_Crl.A.343-2023,0.999
C.A._1022_2012,judgement_Crl.A.351-2023,0.9988
C.A._1022_2012,judgement_Crl.A.39-K-2022,0.9989
C.A._1022_2012,judgement_Crl.A.416-2020,0.9992
C.A._1022_2012,judgement_Crl.A.35-K-2016,0.999
C.A._1022_2012,judgement_Crl.A.402-2013,0.9993
C.A._1022_2012,judgement_Crl.A.436-2017,0.9987
C.A._1022_2012,judgement_Crl.A.446-2020,0.999
C.A._1022_2012,judgement_Crl.A.506-2020,0.9992
C.A._1022_2012,judgement_Crl.A.479-2015,0.9944
C.A._1022_2012,judgement_CRL.A.413-2013,0.999
C.A._1022_2012,judgement_Crl.A.541-2020,0.9989
C.A._1022_2012,judgement_Crl.A.48-2021,0.9989
C.A._1022_2012,judgement_Crl.A.547-2017,0.999
C.A._1022_2012,judgement_Crl.A.585-2020,0.9991
C.A._1022_2012,judgement_Crl.A.496-2009,0.9989
C.A._1022_2012,judgement_Crl.A.6-P-2015,0.9988
C.A._1022_2012,judgement_Crl.A.528-2019,0.9989
C.A._1022_2012,judgement_Crl.A.560-2020,0.999
C.A._1022_2012,judgement_Crl.A.785-2020,0.9988
C.A._1022_2012,judgement_Crl.A.7-P-2017,0.9988
C.A._1022_2012,judgement_Crl.A.97-2017,0.9979
C.A._1022_2012,judgement_Crl.A.82-2022,0.999
C.A._1022_2012,judgement_CRL.A.652-2009,0.9988
C.A._1022_2012,judgement_Crl.M.A.1591-2020,0.9978
C.A._1022_2012,judgement_Crl.M.A.1113-2024,0.9969
C.A._1022_2012,judgement_Crl.M.A.459-2020,0.9984
C.A._1022_2012,judgement_Crl.M.A.183-2019,0.9989
C.A._1022_2012,judgement_Crl.M.A.512-2019,0.9988
C.A._1022_2012,judgement_Crl.O.P.19-2024,0.9988
C.A._1022_2012,judgement_CRL.A.163-2005,0.9988
C.A._1022_2012,judgement_Crl.O.P.40-2023,0.9986
C.A._1022_2012,judgement_Crl.O.P.36-2017,0.998
C.A._1022_2012,judgement_Crl.M.A.62-P-2018,0.9989
C.A._1022_2012,judgement_Crl.O.P.47-2016,0.9988
C.A._1022_2012,judgement_Crl.O.P.6-2024,0.9986
C.A._1022_2012,judgement_Crl.O.P.57-2015,0.9989
C.A._1022_2012,judgement_CRL.O.P.70-2012,0.999
C.A._1022_2012,judgement_Crl.M.A.200-2019,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.100-K-2020,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1001-2016,0.9989
C.A._1022_2012,judgement_Crl.O.P.59-2015,0.9986
C.A._1022_2012,judgement_Crl.P.L.A.1033-2025,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.104-P-2023,0.9992
C.A._1022_2012,judgement_CRL.O.P.92-2013,0.9985
C.A._1022_2012,judgement_Crl.P.L.A.1054-L-2023,0.999
C.A._1022_2012,judgement_Crl.P.L.A.1055-2025,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.105-K-2020,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.1088-2021,0.9983
C.A._1022_2012,judgement_Crl.P.L.A.1117-L-2021,0.9984
C.A._1022_2012,judgement_Crl.P.L.A.114-2018,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1099-2016,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1121-2021,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1144-2025,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.1146-2021,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.12-2014,0.9985
C.A._1022_2012,judgement_Crl.P.L.A.1184-2025,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.120-2016,0.9867
C.A._1022_2012,judgement_Crl.P.L.A.1225-2021,0.9993
C.A._1022_2012,judgement_Crl.P.L.A.1212-L-2022,0.9992
C.A._1022_2012,judgement_Crl.A.95-2019,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1268-L-2021,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.1269-2020,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1271-2019,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1290-2021,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1251-2022,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1303-2021,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1319-L-2021,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1316-2016,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.138-Q-2020,0.9995
C.A._1022_2012,judgement_Crl.P.L.A.1313-L-2021,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.1392-2022,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.1408-2025,0.9994
C.A._1022_2012,judgement_Crl.P.L.A.143-K-2020,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.143-K-2021,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.146-K-2021,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1359-2023,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.149-L-2022,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.15-2015,0.9986
C.A._1022_2012,judgement_Crl.P.L.A.150-L-2023,0.9993
C.A._1022_2012,judgement_Crl.P.L.A.1549-2021,0.9981
C.A._1022_2012,judgement_Crl.P.L.A.1557-2022,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.1581-2021,0.999
C.A._1022_2012,judgement_Crl.P.L.A.147-K-2025,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1596-2021,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.1612-2021,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1619-2022,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.167-P-2021,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1617-2022,0.9991
C.A._1022_2012,judgement_Crl.A.599-2020,0.999
C.A._1022_2012,judgement_Crl.P.L.A.17-L-2018,0.999
C.A._1022_2012,judgement_Crl.P.L.A.170-2013,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.1565-2024,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.1720-2022,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.188-P-2023,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.183-P-2022,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.1710-L-2017,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.198-2016,0.9996
C.A._1022_2012,judgement_Crl.P.L.A.213-2013,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.224-2017,0.9986
C.A._1022_2012,judgement_Crl.P.L.A.209-2018,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.170-L-2025,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.230-2016,0.994
C.A._1022_2012,judgement_Crl.P.L.A.219-P-2023,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.245-2023,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.280-2021,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.275-2021,0.9993
C.A._1022_2012,judgement_Crl.P.L.A.294-L-2023,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.263-2023,0.999
C.A._1022_2012,judgement_Crl.P.L.A.317-L-2023,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.328-2023,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.33-2021,0.9983
C.A._1022_2012,judgement_Crl.P.L.A.352-L-2022,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.342-2018,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.382-2016,0.9961
C.A._1022_2012,judgement_Crl.P.L.A.35-Q-2017,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.390-L-2021,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.41-K-2023,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.406-2017,0.999
C.A._1022_2012,judgement_Crl.P.L.A.39-K-2025,0.9994
C.A._1022_2012,judgement_Crl.P.L.A.46-P-2016,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.488-2015,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.475-2022,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.513-2021,0.999
C.A._1022_2012,judgement_Crl.P.L.A.476-L-2018,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.519-2023,0.9995
C.A._1022_2012,judgement_Crl.P.L.A.527-2017,0.9986
C.A._1022_2012,judgement_Crl.P.L.A.562-2019,0.9985
C.A._1022_2012,judgement_Crl.P.L.A.490-2019,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.55-2005,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.585-2025,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.604-2015,0.9986
C.A._1022_2012,judgement_Crl.P.L.A.596-L-2022,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.611-L-2023,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.62-L-2023,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.58-K-2023,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.687-2020,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.623-2016,0.9947
C.A._1022_2012,judgement_Crl.P.L.A.692-2020,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.630-2017,0.9932
C.A._1022_2012,judgement_Crl.P.L.A.701-2023,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.426-2009,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.714-2023,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.634-2015,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.717-2023,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.73-P-2021,0.9988
C.A._1022_2012,judgement_Crl.P.L.A.724-2016,0.9941
C.A._1022_2012,judgement_Crl.P.L.A.748-2016,0.9952
C.A._1022_2012,judgement_Crl.P.L.A.762-2018,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.789-2023,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.733-L-2018,0.9989
C.A._1022_2012,judgement_Crl.P.L.A.888-2015,0.999
C.A._1022_2012,judgement_Crl.P.L.A.848-L-2002,0.9984
C.A._1022_2012,judgement_Crl.P.L.A.751-2017,0.9986
C.A._1022_2012,judgement_Crl.P.L.A.868-2025,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.893-2020,0.999
C.A._1022_2012,judgement_Crl.P.L.A.9-P-2016,0.9909
C.A._1022_2012,judgement_Crl.P.L.A.90-K-2023,0.9991
C.A._1022_2012,judgement_Crl.P.L.A.92-K-2021,0.999
C.A._1022_2012,judgement_Crl.P.L.A.921-2023,0.9987
C.A._1022_2012,judgement_Crl.P.L.A.989-2021,0.9985
C.A._1022_2012,judgement_Crl.P.L.A.927-2016,0.9958
C.A._1022_2012,judgement_Crl.R.P.2-2024,0.9991
C.A._1022_2012,judgement_Crl.Sh.A.2-2018,0.9991
C.A._1022_2012,judgement_Crl.R.P.207-2016,0.9981
C.A._1022_2012,judgement_H.R.C.1037-P-2018,0.9981
C.A._1022_2012,judgement_H.R.C.14158-G-2016,0.999
C.A._1022_2012,judgement_H.R.C.12726-B-2020,0.9979
C.A._1022_2012,judgement_H.R.C.14392-2013,0.9987
C.A._1022_2012,judgement_H.R.C.12271-S-2010,0.9988
C.A._1022_2012,judgement_H.R.C.17842-2018,0.9978
C.A._1022_2012,judgement_CRL.SH.A.7-2011,0.9989
C.A._1022_2012,judgement_H.R.C.20171-B-2018,0.9986
C.A._1022_2012,judgement_H.R.C.318-1993,0.9979
C.A._1022_2012,judgement_H.R.C.20883-2018,0.9983
C.A._1022_2012,judgement_H.R.C.3677-E-2014,0.9991
C.A._1022_2012,judgement_H.R.C.4925-G-2014,0.9992
C.A._1022_2012,judgement_Crl.P.L.A.966-2018,0.9988
C.A._1022_2012,judgement_H.R.C.29388-K-2013,0.9987
C.A._1022_2012,judgement_H.R.C.57701-P-2010,0.9988
C.A._1022_2012,judgement_I.C.A.2-2023,0.999
C.A._1022_2012,judgement_I.C.A.3-2011,0.9985
C.A._1022_2012,judgement_I.C.A.1-2012,0.992
C.A._1022_2012,judgement_I.C.A.5-2023,0.9979
C.A._1022_2012,judgement_J.P.14-2016,0.9991
C.A._1022_2012,judgement_H.R.C.69229-P-2018,0.9988
C.A._1022_2012,judgement_J.P.148-2022,0.9986
C.A._1022_2012,judgement_I.C.A.7-2018,0.9988
C.A._1022_2012,judgement_J.P.169-2021,0.9987
C.A._1022_2012,judgement_J.P.201-2015,0.9992
C.A._1022_2012,judgement_J.P.255-2017,0.9987
C.A._1022_2012,judgement_J.P.206-2019,0.9988
C.A._1022_2012,judgement_J.P.217-2017,0.9989
C.A._1022_2012,judgement_CRL.O.P.89-2011,0.9989
C.A._1022_2012,judgement_J.P.276-2019,0.9988
C.A._1022_2012,judgement_J.P.255-2018,0.9989
C.A._1022_2012,judgement_J.P.286-2020,0.9986
C.A._1022_2012,judgement_J.P.417-2019,0.9984
C.A._1022_2012,judgement_H.R.C.8340-2009,0.9995
C.A._1022_2012,judgement_J.P.375-2019,0.9986
C.A._1022_2012,judgement_J.P.375-2023,0.9988
C.A._1022_2012,judgement_J.P.541-2021,0.9989
C.A._1022_2012,judgement_J.P.553-2017,0.9988
C.A._1022_2012,judgement_J.P.405-2021,0.9989
C.A._1022_2012,judgement_J.P.441-2019,0.9988
C.A._1022_2012,judgement_J.P.559-2017,0.9986
C.A._1022_2012,judgement_J.P.554-2023,0.9989
C.A._1022_2012,judgement_J.P.587-2016,0.9989
C.A._1022_2012,judgement_J.P.684-2016,0.9993
C.A._1022_2012,judgement_J.P.83-2021,0.9989
C.A._1022_2012,judgement_J.P.614-2021,0.9988
C.A._1022_2012,judgement_J.P.611-2022,0.9988
C.A._1022_2012,judgement_H.R.C.4668-2006,0.9988
C.A._1022_2012,judgement_J.P.883-2017,0.9988
C.A._1022_2012,judgement_Reference.1-2020,0.9984
C.A._1022_2012,judgement_Reference.1-2022,0.9989
C.A._1022_2012,judgement_R.P.46-2011,0.9989
C.A._1022_2012,judgement_J.P.56-2005,0.9988
C.A._1022_2012,judgement_S.M.C.01-2010,0.9979
C.A._1022_2012,judgement_S.M.C.1-2012,0.9982
C.A._1022_2012,judgement_Report128-K-2021,0.9987
C.A._1022_2012,judgement_S.M.C.1-2020,0.9986
C.A._1022_2012,judgement_Reference.1-2011,0.999
C.A._1022_2012,judgement_S.M.C.1-2023,0.9988
C.A._1022_2012,judgement_S.M.C.1-2022,0.9987
C.A._1022_2012,judgement_S.M.C.10-2018,0.9981
C.A._1022_2012,judgement_S.M.C.11-2005,0.9987
C.A._1022_2012,judgement_Reference.2-2022,0.9989
C.A._1022_2012,judgement_S.M.C.15-2015,0.9986
C.A._1022_2012,judgement_S.M.C.16-2011,0.9994
C.A._1022_2012,judgement_S.M.C.17-2016,0.9989
C.A._1022_2012,judgement_S.M.C.13-2016,0.9989
C.A._1022_2012,judgement_S.M.C.18-2010,0.9983
C.A._1022_2012,judgement_S.M.C.18-2011,0.9988
C.A._1022_2012,judgement_S.M.C.1-2014,0.9992
C.A._1022_2012,judgement_S.M.C.18-2016,0.9988
C.A._1022_2012,judgement_S.M.C.24-2010,0.9984
C.A._1022_2012,judgement_S.M.C.3-2022,0.9986
C.A._1022_2012,judgement_S.M.C.3-2014,0.9987
C.A._1022_2012,judgement_S.M.C.4-2021,0.9988
C.A._1022_2012,judgement_S.M.C.4-2022,0.9989
C.A._1022_2012,judgement_S.M.C.5-2012,0.9909
C.A._1022_2012,judgement_S.M.C.5-2010,0.9987
C.A._1022_2012,judgement_Reference.2-2005,0.9987
C.A._1022_2012,judgement_S.M.C.5-2021,0.9982
C.A._1022_2012,judgement_S.M.C.6-2014,0.9992
C.A._1022_2012,judgement_S.M.C.5-2018,0.9984
C.A._1022_2012,judgement_Supreme Judicial Council No. 242 of 2015,0.9989
C.A._1022_2012,judgement_S.M.C.11-2011,0.9989
C.A._1022_2012,judgement_REFERENCE.1-2012,0.9989
C.A._1022_2012,judgement_S.M.C.25-2009,0.9988
